name,title,organization,url,image,description
Charles Henry,President,CLIR,https://www.clir.org/,/images/people/Charles-Henry.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magn..."
Buhle Mbambo-Thata,Librarian of the National University of Lesotho,National University of Lesotho,http://www.nul.ls/,/images/people/Buhle_Mbambo-Thata-1.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magn..."
